simulation_id,terminal_value,terminal_return
447,145790.4170564564,0.4579041705645641
448,83817.46980511924,-0.16182530194880762
449,168651.36729571148,0.6865136729571149
450,59119.41621173187,-0.4088058378826813
451,71533.84353362545,-0.2846615646637455
452,120568.10770335737,0.20568107703357374
453,119421.23122249497,0.19421231222494972
454,109137.48983482592,0.09137489834825918
455,83320.53066997204,-0.16679469330027963
456,92780.53886585243,-0.07219461134147565
457,144486.80470939525,0.44486804709395256
458,84053.43808048338,-0.15946561919516622
459,87967.71716449266,-0.12032282835507346
460,95982.52905176315,-0.040174709482368454
461,119687.82977578689,0.19687829775786891
462,136743.1386867985,0.36743138686798504
463,118422.20266993258,0.18422202669932575
464,113319.28434695913,0.13319284346959126
465,147112.67671218413,0.4711267671218413
466,91966.94256411913,-0.08033057435880864
467,122617.75348815705,0.22617753488157044
468,178474.37482428842,0.7847437482428841
469,118890.4457530587,0.18890445753058693
470,72786.12721116027,-0.2721387278883972
471,137689.87342864418,0.3768987342864418
472,116097.06383021729,0.16097063830217295
473,88435.10095315297,-0.11564899046847033
474,127713.07889276445,0.2771307889276444
475,87777.61114056925,-0.12222388859430755
476,163150.22726447578,0.6315022726447577
477,108838.1742198543,0.08838174219854311
478,129314.74340598403,0.29314743405984034
479,122740.89145708607,0.22740891457086065
480,91154.99277917643,-0.08845007220823564
481,84597.3099013159,-0.15402690098684102
482,150610.12242859867,0.5061012242859866
483,101377.26227540462,0.013772622754046226
484,107227.14321829945,0.07227143218299448
485,76428.55733992983,-0.23571442660070174
486,155399.25354926116,0.5539925354926116
487,126975.51049324113,0.2697551049324114
488,121447.1048224448,0.21447104822444807
489,103804.22307087349,0.038042230708734914
490,59935.60833495427,-0.4006439166504573
491,141632.73577957033,0.4163273577957032
492,86911.66719006548,-0.13088332809934522
493,129007.63491337703,0.29007634913377034
494,134441.0215858431,0.3444102158584308
495,131312.8445817736,0.3131284458177359
496,131196.46956812596,0.3119646956812596
497,120650.00619610786,0.20650006196107862
498,96363.39753545346,-0.036366024645465345
499,77815.99370060858,-0.22184006299391423
500,95186.89977449685,-0.04813100225503153
501,115992.55236163661,0.15992552361636614
502,122899.63028502406,0.22899630285024064
503,139983.50082836737,0.3998350082836737
504,97771.65951811502,-0.022283404818849828
505,91607.11665229718,-0.08392883347702829
506,137960.31861173798,0.37960318611737986
507,102257.09011150255,0.022570901115025466
508,120728.67815121904,0.20728678151219038
509,105679.11024466415,0.05679110244664143
510,107592.34077146258,0.0759234077146258
511,89762.92605515778,-0.10237073944842223
512,150171.6512592589,0.5017165125925891
513,115247.04509306765,0.15247045093067646
514,155304.78490762212,0.5530478490762212
515,209460.19798986852,1.0946019798986852
516,102192.61250254151,0.021926125025415022
517,172544.60324509564,0.7254460324509564
518,73502.2263014317,-0.26497773698568305
519,129887.35609231681,0.2988735609231681
520,114094.80981486794,0.14094809814867948
521,165102.56674047976,0.6510256674047976
522,130710.45672277932,0.3071045672277932
523,105429.41838037624,0.0542941838037625
524,125690.77743957328,0.25690777439573287
525,71227.67087776077,-0.28772329122239226
526,60179.46670033226,-0.3982053329966774
527,167084.689301496,0.67084689301496
528,131623.14033352197,0.3162314033352196
529,124533.19092345683,0.24533190923456827
530,116803.63659466818,0.1680363659466817
531,118426.78689888955,0.18426786898889547
532,107005.49418253596,0.07005494182535954
533,137178.69929730066,0.37178699297300666
534,98455.33153221327,-0.015446684677867362
535,142088.7837344931,0.42088783734493096
536,103338.21035603406,0.03338210356034055
537,92022.69092402709,-0.07977309075972905
538,136421.1785249017,0.3642117852490172
539,101918.20221139908,0.019182022113990893
540,111417.16922439542,0.11417169224395418
541,76066.49278328338,-0.2393350721671662
542,130459.32325112501,0.30459323251125014
543,174938.7862943128,0.7493878629431281
544,129542.39474704712,0.2954239474704712
